Transporteur;Origine;Origine_uic;Destination;Destination_uic;Distance entre les gares;Train - Empreinte carbone (kgCO2e);Distance routière;Autocar longue distance - Empreinte carbone (kgCO2e);Voiture électrique (2,2 pers.) - Empreinte carbone (kgCO2e);Voiture thermique (2,2 pers.) - Empreinte carbone (kgCO2e);Distance aérienne;Avion - Empreinte carbone (kgCO2e)
TGV;Paris Gare du Nord;87271007;Lens;87345025;198.0;0.495;214.0;7.062;1.926;13.054;;
TGV;Paris Est;87113001;Reims;87171009;146.156;0.36539;145.0;4.785;1.305;8.845;;
TGV;Paris Montparnasse;87391003;Bordeaux Saint-Jean;87581009;537.13;1.342825;587.0;19.371;5.283;35.807;498.0;61.254
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Lyon Part Dieu;87723197;442.0;1.105;499.0;16.467;4.491;30.439;400.0;49.2
Intercités;Paris Gare de Lyon;87686006;Vichy;87732008;364.0;1.8563999999999998;409.0;13.497;3.681;24.949;;
Intercités;Lyon-Part-Dieu;87723197;Nantes;87481002;812.0;4.1411999999999995;686.0;22.638;6.174;41.846;516.0;63.468
Intercités;Bordeaux Saint-Jean;87581009;Toulouse-Matabiau;87611004;257.0;1.3106999999999998;244.0;8.052;2.196;14.884;;
International;Paris Est;87113001;Karlsruhe HBF;80142281;523.0;4.2363;556.0;18.348;5.004;33.916;;
International;Paris Gare de Lyon;87686006;Zuerich HB;85030007;614.0;1.842;655.0;21.615;5.895;39.955;491.0;60.393
International;Paris Nord;88194060;Bruxelles N Aero;88194060;314.0;1.8212000000000002;312.0;10.296;2.808;19.032;265.0;32.595
International;Paris Est;87113001;Frankfurt Main HBF;80110684;659.0;5.337899999999999;573.0;18.909;5.157;34.953;481.0;59.163
International;Chambery Challes-les-Eaux;87741009;Torino Porta Susa;83002220;202.0;1.7978000000000003;208.0;6.864;1.872;12.688;;
International;Paris Nord;88194060;Amsterdam Centraal;84000588;545.0;3.161;509.0;16.797;4.581;31.049;431.0;53.013
TER;Arcachon;87582668;Bordeaux Saint-Jean;87581009;58.0;1.1251999999999998;74.0;2.442;0.666;4.514;;
TER;Toulouse-Matabiau;87611004;Perpignan;87784009;210.0;4.074;207.0;6.831;1.863;12.627;;
TER;Dijon Ville;87713040;Lyon Part-Dieu;87723197;192.0;3.7247999999999997;194.0;6.402;1.746;11.834;;
TER;Brive-la-Gaillarde;87594002;Bordeaux Saint-Jean;87581009;200.0;3.8799999999999994;202.0;6.666;1.818;12.322;;
TER;Paris Nord;87271007;Compiègne;87276691;84.0;1.6296;82.0;2.706;0.738;5.002;;
